GCM,RCM,Edge_Treatment,Landscape_Treatment,Fire_area,House_loss,Life_loss,Road_loss,Power_loss,TFI_burnt,region
CSIRO-MK3.0,R2,e0,l10,235.2708735,0.060188583,0.053712345,376.5832977,5.48909534,2.360718291,NSW_BHILL
CSIRO-MK3.0,R2,e0,l15,215.7233065,0.060314302,0.053808963,358.9252757,5.497323005,2.456181376,NSW_BHILL
CSIRO-MK3.0,R2,e1,l0,270.841447,0.060001122,0.053617555,402.949883,5.487008966,1.87087785,NSW_BHILL
CSIRO-MK3.0,R2,e1,l1,261.3333554,0.060585614,0.054132294,400.9534772,5.538458647,1.953761047,NSW_BHILL
CSIRO-MK3.0,R2,e1,l2,255.3660797,0.0602059,0.053777381,381.8421137,5.500843665,1.943659187,NSW_BHILL
CSIRO-MK3.0,R2,e1,l3,250.6099928,0.060303202,0.053853132,385.1152785,5.507381813,1.913644644,NSW_BHILL
CSIRO-MK3.0,R2,e1,l5,242.8930465,0.060412984,0.05393767,380.8059098,5.514595461,2.25225483,NSW_BHILL
CSIRO-MK3.0,R2,e1,l10,228.1841193,0.061185666,0.054605568,375.697123,5.579916302,2.373941047,NSW_BHILL
CSIRO-MK3.0,R2,e1,l15,209.2892824,0.061256303,0.05465949,358.1348394,5.584476694,2.46739402,NSW_BHILL
CSIRO-MK3.0,R2,e2,l0,263.6723296,0.058609904,0.052349245,398.3010523,5.355980791,1.822996321,NSW_BHILL
CSIRO-MK3.0,R2,e2,l1,253.7889809,0.059771222,0.053379908,396.9894078,5.459671946,1.929299846,NSW_BHILL
CSIRO-MK3.0,R2,e2,l2,249.5991632,0.059168855,0.052844175,378.3012001,5.405727521,1.927281096,NSW_BHILL
